Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 0, loss: 3.367313, train acc: 0.196987, train avg acc: 0.196947
Test 0, loss: 3.114580, test acc: 0.244745, test avg acc: 0.244745
Train 1, loss: 1.847693, train acc: 0.239548, train avg acc: 0.239458
Test 1, loss: 1.902517, test acc: 0.268769, test avg acc: 0.268769
Train 2, loss: 1.793078, train acc: 0.289266, train avg acc: 0.289318
Test 2, loss: 1.874264, test acc: 0.229730, test avg acc: 0.229730
Train 3, loss: 1.751285, train acc: 0.330697, train avg acc: 0.330701
Test 3, loss: 1.880209, test acc: 0.211712, test avg acc: 0.211712
Train 4, loss: 1.686398, train acc: 0.385311, train avg acc: 0.385363
Test 4, loss: 1.814230, test acc: 0.304805, test avg acc: 0.304805
Train 5, loss: 1.673915, train acc: 0.389454, train avg acc: 0.389488
Test 5, loss: 1.814861, test acc: 0.181682, test avg acc: 0.181682
Train 6, loss: 1.652413, train acc: 0.427119, train avg acc: 0.427135
Test 6, loss: 1.986727, test acc: 0.196697, test avg acc: 0.196697
Train 7, loss: 1.614201, train acc: 0.463277, train avg acc: 0.463327
Test 7, loss: 1.693866, test acc: 0.304805, test avg acc: 0.304805
Train 8, loss: 1.635663, train acc: 0.465160, train avg acc: 0.465159
Test 8, loss: 1.953235, test acc: 0.226727, test avg acc: 0.226727
Train 9, loss: 1.598321, train acc: 0.486629, train avg acc: 0.486531
Test 9, loss: 1.635922, test acc: 0.450450, test avg acc: 0.450450
Train 10, loss: 1.525498, train acc: 0.537100, train avg acc: 0.537223
Test 10, loss: 1.536211, test acc: 0.621622, test avg acc: 0.621622
Train 11, loss: 1.554389, train acc: 0.528814, train avg acc: 0.528807
Test 11, loss: 1.601752, test acc: 0.602102, test avg acc: 0.602102
Train 12, loss: 1.540757, train acc: 0.538230, train avg acc: 0.538306
Test 12, loss: 1.621459, test acc: 0.441441, test avg acc: 0.441441
Train 13, loss: 1.535010, train acc: 0.543879, train avg acc: 0.543941
Test 13, loss: 1.541595, test acc: 0.683183, test avg acc: 0.683183
Train 14, loss: 1.536412, train acc: 0.550282, train avg acc: 0.550239
Test 14, loss: 1.849809, test acc: 0.546547, test avg acc: 0.546547
Train 15, loss: 1.502487, train acc: 0.560075, train avg acc: 0.560123
Test 15, loss: 1.695191, test acc: 0.399399, test avg acc: 0.399399
Train 16, loss: 1.501785, train acc: 0.566478, train avg acc: 0.566602
Test 16, loss: 1.467294, test acc: 0.650150, test avg acc: 0.650150
Train 17, loss: 1.528543, train acc: 0.549153, train avg acc: 0.549301
Test 17, loss: 1.437534, test acc: 0.738739, test avg acc: 0.738739
Train 18, loss: 1.467905, train acc: 0.596987, train avg acc: 0.596863
Test 18, loss: 1.529421, test acc: 0.626126, test avg acc: 0.626126
Train 19, loss: 1.482963, train acc: 0.596234, train avg acc: 0.596223
Test 19, loss: 1.627940, test acc: 0.355856, test avg acc: 0.355856
Train 20, loss: 1.461698, train acc: 0.604520, train avg acc: 0.604456
Test 20, loss: 1.558700, test acc: 0.695195, test avg acc: 0.695195
Train 21, loss: 1.479531, train acc: 0.599247, train avg acc: 0.599138
Test 21, loss: 1.598864, test acc: 0.466967, test avg acc: 0.466967
Train 22, loss: 1.461152, train acc: 0.609040, train avg acc: 0.609025
Test 22, loss: 1.593370, test acc: 0.397898, test avg acc: 0.397898
Train 23, loss: 1.428867, train acc: 0.628625, train avg acc: 0.628576
Test 23, loss: 1.508834, test acc: 0.606607, test avg acc: 0.606607
Train 24, loss: 1.445971, train acc: 0.623729, train avg acc: 0.623684
Test 24, loss: 1.434160, test acc: 0.675676, test avg acc: 0.675676
Train 25, loss: 1.429982, train acc: 0.639548, train avg acc: 0.639568
Test 25, loss: 1.553805, test acc: 0.569069, test avg acc: 0.569069
Train 26, loss: 1.443678, train acc: 0.601883, train avg acc: 0.601816
Test 26, loss: 1.481562, test acc: 0.630631, test avg acc: 0.630631
Train 27, loss: 1.424165, train acc: 0.621092, train avg acc: 0.621073
Test 27, loss: 1.475707, test acc: 0.806306, test avg acc: 0.806306
Train 28, loss: 1.422916, train acc: 0.640301, train avg acc: 0.640267
Test 28, loss: 1.482069, test acc: 0.648649, test avg acc: 0.648649
Train 29, loss: 1.413458, train acc: 0.647834, train avg acc: 0.647770
Test 29, loss: 1.540594, test acc: 0.498498, test avg acc: 0.498498
Train 30, loss: 1.423135, train acc: 0.635405, train avg acc: 0.635364
Test 30, loss: 1.459993, test acc: 0.591592, test avg acc: 0.591592
Train 31, loss: 1.386853, train acc: 0.657250, train avg acc: 0.657317
Test 31, loss: 1.589307, test acc: 0.376877, test avg acc: 0.376877
Train 32, loss: 1.411123, train acc: 0.644444, train avg acc: 0.644396
Test 32, loss: 1.517057, test acc: 0.537538, test avg acc: 0.537538
Train 33, loss: 1.381466, train acc: 0.661394, train avg acc: 0.661384
Test 33, loss: 1.557524, test acc: 0.421922, test avg acc: 0.421922
Train 34, loss: 1.412004, train acc: 0.643691, train avg acc: 0.643592
Test 34, loss: 1.486230, test acc: 0.665165, test avg acc: 0.665165
Train 35, loss: 1.399082, train acc: 0.643691, train avg acc: 0.643642
Test 35, loss: 1.527524, test acc: 0.530030, test avg acc: 0.530030
Train 36, loss: 1.361171, train acc: 0.676460, train avg acc: 0.676478
Test 36, loss: 1.340148, test acc: 0.725225, test avg acc: 0.725225
Train 37, loss: 1.404852, train acc: 0.658380, train avg acc: 0.658380
Test 37, loss: 1.476057, test acc: 0.552553, test avg acc: 0.552553
Train 38, loss: 1.351250, train acc: 0.690395, train avg acc: 0.690523
Test 38, loss: 1.551402, test acc: 0.509009, test avg acc: 0.509009
Train 39, loss: 1.344858, train acc: 0.688512, train avg acc: 0.688602
Test 39, loss: 1.533076, test acc: 0.543544, test avg acc: 0.543544
Train 40, loss: 1.375585, train acc: 0.662147, train avg acc: 0.662222
Test 40, loss: 1.450221, test acc: 0.582583, test avg acc: 0.582583
Train 41, loss: 1.376620, train acc: 0.662524, train avg acc: 0.662533
Test 41, loss: 1.305976, test acc: 0.687688, test avg acc: 0.687688
Train 42, loss: 1.363416, train acc: 0.675706, train avg acc: 0.675681
Test 42, loss: 1.527728, test acc: 0.439940, test avg acc: 0.439940
Train 43, loss: 1.344492, train acc: 0.686629, train avg acc: 0.686569
Test 43, loss: 1.320763, test acc: 0.684685, test avg acc: 0.684685
Train 44, loss: 1.343742, train acc: 0.694162, train avg acc: 0.694043
Test 44, loss: 1.548152, test acc: 0.337838, test avg acc: 0.337838
Train 45, loss: 1.368772, train acc: 0.672693, train avg acc: 0.672725
Test 45, loss: 1.331265, test acc: 0.792793, test avg acc: 0.792793
Train 46, loss: 1.359826, train acc: 0.670056, train avg acc: 0.669956
Test 46, loss: 1.442930, test acc: 0.669670, test avg acc: 0.669670
Train 47, loss: 1.348852, train acc: 0.692279, train avg acc: 0.692289
Test 47, loss: 1.478896, test acc: 0.632132, test avg acc: 0.632132
Train 48, loss: 1.344009, train acc: 0.704331, train avg acc: 0.704373
Test 48, loss: 1.443340, test acc: 0.581081, test avg acc: 0.581081
Train 49, loss: 1.312606, train acc: 0.714878, train avg acc: 0.714926
Test 49, loss: 1.507897, test acc: 0.457958, test avg acc: 0.457958
Train 50, loss: 1.338879, train acc: 0.689642, train avg acc: 0.689586
Test 50, loss: 1.362216, test acc: 0.593093, test avg acc: 0.593093
Train 51, loss: 1.328186, train acc: 0.709605, train avg acc: 0.709618
Test 51, loss: 1.361978, test acc: 0.666667, test avg acc: 0.666667
Train 52, loss: 1.348633, train acc: 0.688136, train avg acc: 0.688120
Test 52, loss: 1.562996, test acc: 0.270270, test avg acc: 0.270270
Train 53, loss: 1.281216, train acc: 0.729190, train avg acc: 0.729093
Test 53, loss: 1.344725, test acc: 0.719219, test avg acc: 0.719219
Train 54, loss: 1.324998, train acc: 0.698682, train avg acc: 0.698691
Test 54, loss: 1.453563, test acc: 0.554054, test avg acc: 0.554054
Train 55, loss: 1.311772, train acc: 0.713748, train avg acc: 0.713638
Test 55, loss: 1.468595, test acc: 0.524024, test avg acc: 0.524024
Train 56, loss: 1.272861, train acc: 0.749153, train avg acc: 0.749129
Test 56, loss: 1.351710, test acc: 0.777778, test avg acc: 0.777778
Train 57, loss: 1.293021, train acc: 0.723917, train avg acc: 0.724006
Test 57, loss: 1.546083, test acc: 0.612613, test avg acc: 0.612613
Train 58, loss: 1.318450, train acc: 0.699812, train avg acc: 0.699809
Test 58, loss: 1.431051, test acc: 0.539039, test avg acc: 0.539039
Train 59, loss: 1.295210, train acc: 0.722411, train avg acc: 0.722326
Test 59, loss: 1.536644, test acc: 0.555556, test avg acc: 0.555556
Train 60, loss: 1.296895, train acc: 0.725800, train avg acc: 0.725748
Test 60, loss: 1.377651, test acc: 0.710210, test avg acc: 0.710210
Train 61, loss: 1.264376, train acc: 0.749906, train avg acc: 0.749869
Test 61, loss: 1.386610, test acc: 0.698198, test avg acc: 0.698198
Train 62, loss: 1.291764, train acc: 0.732203, train avg acc: 0.732141
Test 62, loss: 1.467851, test acc: 0.561562, test avg acc: 0.561562
Train 63, loss: 1.309692, train acc: 0.709228, train avg acc: 0.709262
Test 63, loss: 1.387514, test acc: 0.561562, test avg acc: 0.561562
Train 64, loss: 1.282347, train acc: 0.735217, train avg acc: 0.735090
Test 64, loss: 1.443056, test acc: 0.572072, test avg acc: 0.572072
Train 65, loss: 1.271678, train acc: 0.743503, train avg acc: 0.743516
Test 65, loss: 1.396497, test acc: 0.555556, test avg acc: 0.555556
Train 66, loss: 1.289446, train acc: 0.715254, train avg acc: 0.715241
Test 66, loss: 1.336746, test acc: 0.690691, test avg acc: 0.690691
Train 67, loss: 1.292071, train acc: 0.735217, train avg acc: 0.735230
Test 67, loss: 1.422643, test acc: 0.506006, test avg acc: 0.506006
Train 68, loss: 1.283011, train acc: 0.740113, train avg acc: 0.740087
Test 68, loss: 1.477957, test acc: 0.481982, test avg acc: 0.481982
Train 69, loss: 1.282951, train acc: 0.738230, train avg acc: 0.738249
Test 69, loss: 1.421975, test acc: 0.747748, test avg acc: 0.747748
Train 70, loss: 1.277701, train acc: 0.738983, train avg acc: 0.738994
Test 70, loss: 1.323354, test acc: 0.716216, test avg acc: 0.716216
Train 71, loss: 1.263807, train acc: 0.749529, train avg acc: 0.749573
Test 71, loss: 1.444419, test acc: 0.519520, test avg acc: 0.519520
Train 72, loss: 1.276782, train acc: 0.740866, train avg acc: 0.740915
Test 72, loss: 1.434126, test acc: 0.525526, test avg acc: 0.525526
Train 73, loss: 1.299472, train acc: 0.726930, train avg acc: 0.727000
Test 73, loss: 1.323465, test acc: 0.815315, test avg acc: 0.815315
Train 74, loss: 1.268125, train acc: 0.744256, train avg acc: 0.744176
Test 74, loss: 1.407786, test acc: 0.475976, test avg acc: 0.475976
Train 75, loss: 1.239564, train acc: 0.763842, train avg acc: 0.763874
Test 75, loss: 1.463907, test acc: 0.572072, test avg acc: 0.572072
Train 76, loss: 1.248721, train acc: 0.756309, train avg acc: 0.756230
Test 76, loss: 1.324982, test acc: 0.764264, test avg acc: 0.764264
Train 77, loss: 1.260452, train acc: 0.757815, train avg acc: 0.757812
Test 77, loss: 1.235233, test acc: 0.827327, test avg acc: 0.827327
Train 78, loss: 1.284118, train acc: 0.735970, train avg acc: 0.735961
Test 78, loss: 1.311393, test acc: 0.768769, test avg acc: 0.768769
Train 79, loss: 1.231048, train acc: 0.774765, train avg acc: 0.774857
Test 79, loss: 1.484124, test acc: 0.481982, test avg acc: 0.481982
Train 80, loss: 1.251760, train acc: 0.753296, train avg acc: 0.753256
Test 80, loss: 1.310521, test acc: 0.692192, test avg acc: 0.692192
Train 81, loss: 1.221226, train acc: 0.775895, train avg acc: 0.775877
Test 81, loss: 1.441639, test acc: 0.674174, test avg acc: 0.674174
Train 82, loss: 1.240767, train acc: 0.763465, train avg acc: 0.763416
Test 82, loss: 1.307749, test acc: 0.821321, test avg acc: 0.821321
Train 83, loss: 1.220060, train acc: 0.785687, train avg acc: 0.785651
Test 83, loss: 1.434126, test acc: 0.654655, test avg acc: 0.654655
Train 84, loss: 1.259252, train acc: 0.759322, train avg acc: 0.759326
Test 84, loss: 1.480016, test acc: 0.542042, test avg acc: 0.542042
Train 85, loss: 1.216997, train acc: 0.788701, train avg acc: 0.788671
Test 85, loss: 1.307954, test acc: 0.792793, test avg acc: 0.792793
Train 86, loss: 1.234841, train acc: 0.777024, train avg acc: 0.777063
Test 86, loss: 1.375520, test acc: 0.567568, test avg acc: 0.567568
Train 87, loss: 1.231786, train acc: 0.778908, train avg acc: 0.778901
Test 87, loss: 1.315228, test acc: 0.786787, test avg acc: 0.786787
Train 88, loss: 1.208387, train acc: 0.786064, train avg acc: 0.786062
Test 88, loss: 1.322322, test acc: 0.777778, test avg acc: 0.777778
Train 89, loss: 1.203818, train acc: 0.787571, train avg acc: 0.787505
Test 89, loss: 1.401525, test acc: 0.680180, test avg acc: 0.680180
Train 90, loss: 1.222699, train acc: 0.780414, train avg acc: 0.780432
Test 90, loss: 1.359505, test acc: 0.653153, test avg acc: 0.653153
Train 91, loss: 1.204084, train acc: 0.798493, train avg acc: 0.798494
Test 91, loss: 1.431401, test acc: 0.573574, test avg acc: 0.573574
Train 92, loss: 1.211572, train acc: 0.787947, train avg acc: 0.787978
Test 92, loss: 1.413132, test acc: 0.581081, test avg acc: 0.581081
Train 93, loss: 1.205795, train acc: 0.790207, train avg acc: 0.790208
Test 93, loss: 1.351169, test acc: 0.587087, test avg acc: 0.587087
Train 94, loss: 1.192443, train acc: 0.809416, train avg acc: 0.809411
Test 94, loss: 1.259689, test acc: 0.783784, test avg acc: 0.783784
Train 95, loss: 1.175637, train acc: 0.809040, train avg acc: 0.809081
Test 95, loss: 1.393748, test acc: 0.615616, test avg acc: 0.615616
Train 96, loss: 1.192699, train acc: 0.807156, train avg acc: 0.807119
Test 96, loss: 1.274295, test acc: 0.773273, test avg acc: 0.773273
Train 97, loss: 1.224273, train acc: 0.783427, train avg acc: 0.783457
Test 97, loss: 1.315190, test acc: 0.735736, test avg acc: 0.735736
Train 98, loss: 1.206707, train acc: 0.802637, train avg acc: 0.802689
Test 98, loss: 1.229741, test acc: 0.861862, test avg acc: 0.861862
Train 99, loss: 1.210813, train acc: 0.794350, train avg acc: 0.794320
Test 99, loss: 1.299142, test acc: 0.635135, test avg acc: 0.635135
Train 100, loss: 1.190397, train acc: 0.804143, train avg acc: 0.804121
Test 100, loss: 1.461405, test acc: 0.474474, test avg acc: 0.474474
Train 101, loss: 1.192770, train acc: 0.796234, train avg acc: 0.796257
Test 101, loss: 1.323382, test acc: 0.750751, test avg acc: 0.750751
Train 102, loss: 1.207895, train acc: 0.790584, train avg acc: 0.790645
Test 102, loss: 1.340580, test acc: 0.744745, test avg acc: 0.744745
Train 103, loss: 1.212841, train acc: 0.789077, train avg acc: 0.789100
Test 103, loss: 1.253171, test acc: 0.773273, test avg acc: 0.773273
Train 104, loss: 1.161459, train acc: 0.827495, train avg acc: 0.827463
Test 104, loss: 1.319128, test acc: 0.692192, test avg acc: 0.692192
Train 105, loss: 1.193701, train acc: 0.803390, train avg acc: 0.803383
Test 105, loss: 1.377798, test acc: 0.669670, test avg acc: 0.669670
Train 106, loss: 1.166302, train acc: 0.824482, train avg acc: 0.824481
Test 106, loss: 1.327631, test acc: 0.684685, test avg acc: 0.684685
Train 107, loss: 1.169929, train acc: 0.827119, train avg acc: 0.827094
Test 107, loss: 1.445756, test acc: 0.567568, test avg acc: 0.567568
Train 108, loss: 1.157813, train acc: 0.828249, train avg acc: 0.828263
Test 108, loss: 1.278606, test acc: 0.689189, test avg acc: 0.689189
Train 109, loss: 1.166578, train acc: 0.821846, train avg acc: 0.821862
Test 109, loss: 1.185016, test acc: 0.765766, test avg acc: 0.765766
Train 110, loss: 1.182679, train acc: 0.815443, train avg acc: 0.815442
Test 110, loss: 1.259582, test acc: 0.779279, test avg acc: 0.779279
Train 111, loss: 1.137540, train acc: 0.842185, train avg acc: 0.842147
Test 111, loss: 1.368607, test acc: 0.705706, test avg acc: 0.705706
Train 112, loss: 1.165903, train acc: 0.825989, train avg acc: 0.825976
Test 112, loss: 1.240780, test acc: 0.836336, test avg acc: 0.836336
Train 113, loss: 1.132961, train acc: 0.845198, train avg acc: 0.845152
Test 113, loss: 1.339664, test acc: 0.809309, test avg acc: 0.809309
Train 114, loss: 1.145916, train acc: 0.840678, train avg acc: 0.840712
Test 114, loss: 1.305920, test acc: 0.756757, test avg acc: 0.756757
Train 115, loss: 1.128971, train acc: 0.849718, train avg acc: 0.849723
Test 115, loss: 1.131777, test acc: 0.944444, test avg acc: 0.944444
Train 116, loss: 1.139557, train acc: 0.846704, train avg acc: 0.846671
Test 116, loss: 1.223466, test acc: 0.939940, test avg acc: 0.939940
Train 117, loss: 1.133762, train acc: 0.844444, train avg acc: 0.844422
Test 117, loss: 1.357921, test acc: 0.716216, test avg acc: 0.716216
Train 118, loss: 1.134716, train acc: 0.848211, train avg acc: 0.848217
Test 118, loss: 1.467775, test acc: 0.696697, test avg acc: 0.696697
Train 119, loss: 1.126929, train acc: 0.853484, train avg acc: 0.853492
Test 119, loss: 1.319714, test acc: 0.869369, test avg acc: 0.869369
Train 120, loss: 1.135439, train acc: 0.842185, train avg acc: 0.842162
Test 120, loss: 1.358153, test acc: 0.603604, test avg acc: 0.603604
Train 121, loss: 1.144497, train acc: 0.844821, train avg acc: 0.844894
Test 121, loss: 1.217902, test acc: 0.824324, test avg acc: 0.824324
Train 122, loss: 1.125898, train acc: 0.852731, train avg acc: 0.852745
Test 122, loss: 1.236105, test acc: 0.717718, test avg acc: 0.717718
Train 123, loss: 1.120069, train acc: 0.862147, train avg acc: 0.862128
Test 123, loss: 1.416069, test acc: 0.633634, test avg acc: 0.633634
Train 124, loss: 1.129958, train acc: 0.845198, train avg acc: 0.845219
Test 124, loss: 1.352062, test acc: 0.651652, test avg acc: 0.651652
Train 125, loss: 1.116392, train acc: 0.859510, train avg acc: 0.859519
Test 125, loss: 1.382984, test acc: 0.477477, test avg acc: 0.477477
Train 126, loss: 1.134547, train acc: 0.848588, train avg acc: 0.848578
