Namespace(batch_size=5, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_50_cpu', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=True, num_points=50, seed=1, test_batch_size=2, use_sgd=True)
Using CPU
Train 0, loss: 2.995066, train acc: 0.264516, train avg acc: 0.264494
Test 0, loss: 1.641442, test acc: 0.333333, test avg acc: 0.333333
Train 1, loss: 1.752687, train acc: 0.306203, train avg acc: 0.306151
Test 1, loss: 1.728246, test acc: 0.333333, test avg acc: 0.333333
Train 2, loss: 1.718722, train acc: 0.333002, train avg acc: 0.332932
Test 2, loss: 1.707975, test acc: 0.269841, test avg acc: 0.269841
Train 3, loss: 1.687850, train acc: 0.344913, train avg acc: 0.344859
Test 3, loss: 1.684222, test acc: 0.361111, test avg acc: 0.361111
Train 4, loss: 1.683541, train acc: 0.339454, train avg acc: 0.339709
Test 4, loss: 1.681918, test acc: 0.186508, test avg acc: 0.186508
Train 5, loss: 1.695965, train acc: 0.366749, train avg acc: 0.366720
Test 5, loss: 1.608102, test acc: 0.355159, test avg acc: 0.355159
Train 6, loss: 1.654059, train acc: 0.412903, train avg acc: 0.413114
Test 6, loss: 1.612907, test acc: 0.357143, test avg acc: 0.357143
Train 7, loss: 1.660378, train acc: 0.405955, train avg acc: 0.405976
Test 7, loss: 1.496113, test acc: 0.500000, test avg acc: 0.500000
Train 8, loss: 1.667912, train acc: 0.401489, train avg acc: 0.401395
Test 8, loss: 1.578416, test acc: 0.333333, test avg acc: 0.333333
Train 9, loss: 1.639396, train acc: 0.429280, train avg acc: 0.429216
Test 9, loss: 1.564270, test acc: 0.573413, test avg acc: 0.573413
Train 10, loss: 1.609838, train acc: 0.456079, train avg acc: 0.456020
Test 10, loss: 1.521557, test acc: 0.464286, test avg acc: 0.464286
Train 11, loss: 1.589690, train acc: 0.475931, train avg acc: 0.475920
Test 11, loss: 1.521575, test acc: 0.517857, test avg acc: 0.517857
Train 12, loss: 1.565768, train acc: 0.496774, train avg acc: 0.496966
Test 12, loss: 1.728387, test acc: 0.166667, test avg acc: 0.166667
Train 13, loss: 1.529561, train acc: 0.530521, train avg acc: 0.530693
Test 13, loss: 1.414633, test acc: 0.527778, test avg acc: 0.527778
Train 14, loss: 1.512470, train acc: 0.550372, train avg acc: 0.550241
Test 14, loss: 1.418408, test acc: 0.472222, test avg acc: 0.472222
Train 15, loss: 1.507374, train acc: 0.543921, train avg acc: 0.543891
Test 15, loss: 1.505512, test acc: 0.392857, test avg acc: 0.392857
Train 16, loss: 1.461771, train acc: 0.589082, train avg acc: 0.589086
Test 16, loss: 1.408645, test acc: 0.640873, test avg acc: 0.640873
Train 17, loss: 1.445994, train acc: 0.602481, train avg acc: 0.602375
Test 17, loss: 1.340920, test acc: 0.753968, test avg acc: 0.753968
Train 18, loss: 1.473435, train acc: 0.580645, train avg acc: 0.580621
Test 18, loss: 1.372195, test acc: 0.529762, test avg acc: 0.529762
Train 19, loss: 1.418451, train acc: 0.644665, train avg acc: 0.644550
Test 19, loss: 1.314300, test acc: 0.634921, test avg acc: 0.634921
Train 20, loss: 1.435740, train acc: 0.640199, train avg acc: 0.640180
Test 20, loss: 1.329872, test acc: 0.704365, test avg acc: 0.704365
Train 21, loss: 1.385248, train acc: 0.662531, train avg acc: 0.662531
Test 21, loss: 1.406977, test acc: 0.672619, test avg acc: 0.672619
Train 22, loss: 1.336129, train acc: 0.695782, train avg acc: 0.695875
Test 22, loss: 1.215735, test acc: 0.724206, test avg acc: 0.724206
Train 23, loss: 1.304254, train acc: 0.719603, train avg acc: 0.719698
Test 23, loss: 1.183303, test acc: 0.728175, test avg acc: 0.728175
Train 24, loss: 1.329782, train acc: 0.692308, train avg acc: 0.692275
Test 24, loss: 1.256314, test acc: 0.827381, test avg acc: 0.827381
Train 25, loss: 1.317002, train acc: 0.712655, train avg acc: 0.712753
Test 25, loss: 1.232637, test acc: 0.773810, test avg acc: 0.773810
Train 26, loss: 1.310970, train acc: 0.717122, train avg acc: 0.717204
Test 26, loss: 1.221179, test acc: 0.746032, test avg acc: 0.746032
Train 27, loss: 1.256802, train acc: 0.753846, train avg acc: 0.753825
Test 27, loss: 1.223662, test acc: 0.867063, test avg acc: 0.867063
Train 28, loss: 1.268950, train acc: 0.758313, train avg acc: 0.758302
Test 28, loss: 1.206373, test acc: 0.785714, test avg acc: 0.785714
Train 29, loss: 1.273833, train acc: 0.759305, train avg acc: 0.759288
Test 29, loss: 1.214378, test acc: 0.692460, test avg acc: 0.692460
Train 30, loss: 1.241509, train acc: 0.777667, train avg acc: 0.777689
Test 30, loss: 1.275466, test acc: 0.640873, test avg acc: 0.640873
Train 31, loss: 1.258191, train acc: 0.769727, train avg acc: 0.769653
Test 31, loss: 1.296444, test acc: 0.755952, test avg acc: 0.755952
Train 32, loss: 1.263342, train acc: 0.757320, train avg acc: 0.757403
Test 32, loss: 1.204113, test acc: 0.744048, test avg acc: 0.744048
Train 33, loss: 1.249522, train acc: 0.766749, train avg acc: 0.766727
Test 33, loss: 1.181171, test acc: 0.918651, test avg acc: 0.918651
Train 34, loss: 1.233917, train acc: 0.783127, train avg acc: 0.783147
Test 34, loss: 1.117376, test acc: 0.845238, test avg acc: 0.845238
Train 35, loss: 1.222694, train acc: 0.797519, train avg acc: 0.797535
Test 35, loss: 1.102728, test acc: 0.853175, test avg acc: 0.853175
Train 36, loss: 1.217476, train acc: 0.788586, train avg acc: 0.788655
Test 36, loss: 1.157247, test acc: 0.833333, test avg acc: 0.833333
Train 37, loss: 1.221186, train acc: 0.787593, train avg acc: 0.787574
Test 37, loss: 1.079938, test acc: 0.944444, test avg acc: 0.944444
Train 38, loss: 1.206803, train acc: 0.801489, train avg acc: 0.801482
Test 38, loss: 1.191146, test acc: 0.765873, test avg acc: 0.765873
Train 39, loss: 1.213249, train acc: 0.791067, train avg acc: 0.791037
Test 39, loss: 1.356886, test acc: 0.500000, test avg acc: 0.500000
Train 40, loss: 1.211106, train acc: 0.803970, train avg acc: 0.803986
Test 40, loss: 1.074768, test acc: 0.861111, test avg acc: 0.861111
Train 41, loss: 1.152899, train acc: 0.840199, train avg acc: 0.840187
Test 41, loss: 1.194809, test acc: 0.845238, test avg acc: 0.845238
Train 42, loss: 1.167353, train acc: 0.829280, train avg acc: 0.829269
Test 42, loss: 1.081942, test acc: 0.876984, test avg acc: 0.876984
Train 43, loss: 1.140186, train acc: 0.847643, train avg acc: 0.847616
Test 43, loss: 1.254232, test acc: 0.668651, test avg acc: 0.668651
Train 44, loss: 1.200340, train acc: 0.805955, train avg acc: 0.805939
Test 44, loss: 1.113758, test acc: 0.863095, test avg acc: 0.863095
Train 45, loss: 1.177543, train acc: 0.824814, train avg acc: 0.824828
Test 45, loss: 1.147402, test acc: 0.942460, test avg acc: 0.942460
Train 46, loss: 1.145596, train acc: 0.843176, train avg acc: 0.843167
Test 46, loss: 1.068147, test acc: 0.938492, test avg acc: 0.938492
Train 47, loss: 1.184803, train acc: 0.815881, train avg acc: 0.815950
Test 47, loss: 1.005726, test acc: 0.958333, test avg acc: 0.958333
