Namespace(batch_size=5, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_50_cpu_k5', k=5, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=True, num_points=50, seed=1, test_batch_size=2, use_sgd=True)
Using CPU
Train 0, loss: 3.141169, train acc: 0.240199, train avg acc: 0.240174
Test 0, loss: 1.736319, test acc: 0.333333, test avg acc: 0.333333
Train 1, loss: 1.769335, train acc: 0.300248, train avg acc: 0.300195
Test 1, loss: 1.753844, test acc: 0.333333, test avg acc: 0.333333
Train 2, loss: 1.725632, train acc: 0.334988, train avg acc: 0.334909
Test 2, loss: 1.695741, test acc: 0.212302, test avg acc: 0.212302
Train 3, loss: 1.692819, train acc: 0.329529, train avg acc: 0.329470
Test 3, loss: 1.650620, test acc: 0.331349, test avg acc: 0.331349
Train 4, loss: 1.696900, train acc: 0.330025, train avg acc: 0.330277
Test 4, loss: 1.980642, test acc: 0.166667, test avg acc: 0.166667
Train 5, loss: 1.709127, train acc: 0.341439, train avg acc: 0.341402
Test 5, loss: 1.673690, test acc: 0.333333, test avg acc: 0.333333
Train 6, loss: 1.687317, train acc: 0.354839, train avg acc: 0.355108
Test 6, loss: 1.788255, test acc: 0.166667, test avg acc: 0.166667
Train 7, loss: 1.678872, train acc: 0.346402, train avg acc: 0.346328
Test 7, loss: 1.626391, test acc: 0.436508, test avg acc: 0.436508
Train 8, loss: 1.678072, train acc: 0.340943, train avg acc: 0.340867
Test 8, loss: 1.641972, test acc: 0.355159, test avg acc: 0.355159
Train 9, loss: 1.676575, train acc: 0.367246, train avg acc: 0.367192
Test 9, loss: 1.738781, test acc: 0.333333, test avg acc: 0.333333
Train 10, loss: 1.646578, train acc: 0.392060, train avg acc: 0.391988
Test 10, loss: 1.682559, test acc: 0.263889, test avg acc: 0.263889
Train 11, loss: 1.653897, train acc: 0.396030, train avg acc: 0.396011
Test 11, loss: 1.589712, test acc: 0.382937, test avg acc: 0.382937
Train 12, loss: 1.647682, train acc: 0.401489, train avg acc: 0.401743
Test 12, loss: 1.890509, test acc: 0.384921, test avg acc: 0.384921
Train 13, loss: 1.631116, train acc: 0.411414, train avg acc: 0.411660
Test 13, loss: 1.817638, test acc: 0.236111, test avg acc: 0.236111
Train 14, loss: 1.634436, train acc: 0.424814, train avg acc: 0.424713
Test 14, loss: 1.633977, test acc: 0.392857, test avg acc: 0.392857
Train 15, loss: 1.606270, train acc: 0.446154, train avg acc: 0.446067
Test 15, loss: 1.570097, test acc: 0.418651, test avg acc: 0.418651
Train 16, loss: 1.593818, train acc: 0.466005, train avg acc: 0.466030
Test 16, loss: 1.546596, test acc: 0.553571, test avg acc: 0.553571
Train 17, loss: 1.590992, train acc: 0.473449, train avg acc: 0.473325
Test 17, loss: 1.639978, test acc: 0.414683, test avg acc: 0.414683
Train 18, loss: 1.574245, train acc: 0.477419, train avg acc: 0.477307
Test 18, loss: 1.572864, test acc: 0.462302, test avg acc: 0.462302
