Namespace(exp_name='pointnet_200', model='pointnet', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=200, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 0, loss: 2.212147, train acc: 0.173710, train avg acc: 0.173710
Test 0, loss: 1.892220, test acc: 0.166667, test avg acc: 0.166667
Train 1, loss: 1.815949, train acc: 0.168056, train avg acc: 0.168056
Test 1, loss: 1.843260, test acc: 0.166667, test avg acc: 0.166667
Train 2, loss: 1.815557, train acc: 0.168056, train avg acc: 0.168056
Test 2, loss: 1.836466, test acc: 0.166667, test avg acc: 0.166667
Train 3, loss: 1.815695, train acc: 0.172917, train avg acc: 0.172917
Test 3, loss: 1.814433, test acc: 0.167063, test avg acc: 0.167063
Train 4, loss: 1.816774, train acc: 0.165873, train avg acc: 0.165873
Test 4, loss: 1.824634, test acc: 0.166667, test avg acc: 0.166667
Train 5, loss: 1.814421, train acc: 0.175992, train avg acc: 0.175992
Test 5, loss: 1.807551, test acc: 0.166667, test avg acc: 0.166667
Train 6, loss: 1.819248, train acc: 0.166171, train avg acc: 0.166171
Test 6, loss: 1.800478, test acc: 0.166667, test avg acc: 0.166667
Train 7, loss: 1.815368, train acc: 0.165972, train avg acc: 0.165972
Test 7, loss: 1.832152, test acc: 0.167063, test avg acc: 0.167063
Train 8, loss: 1.817259, train acc: 0.168056, train avg acc: 0.168056
Test 8, loss: 1.822360, test acc: 0.166667, test avg acc: 0.166667
Train 9, loss: 1.818822, train acc: 0.167956, train avg acc: 0.167956
Test 9, loss: 1.809847, test acc: 0.166667, test avg acc: 0.166667
Train 10, loss: 1.815505, train acc: 0.173016, train avg acc: 0.173016
Test 10, loss: 1.808844, test acc: 0.166667, test avg acc: 0.166667
Train 11, loss: 1.817141, train acc: 0.162401, train avg acc: 0.162401
Test 11, loss: 1.802703, test acc: 0.166270, test avg acc: 0.166270
Train 12, loss: 1.813864, train acc: 0.176389, train avg acc: 0.176389
Test 12, loss: 1.808481, test acc: 0.166667, test avg acc: 0.166667
Train 13, loss: 1.813510, train acc: 0.174405, train avg acc: 0.174405
Test 13, loss: 1.811750, test acc: 0.166667, test avg acc: 0.166667
Train 14, loss: 1.814855, train acc: 0.165079, train avg acc: 0.165079
Test 14, loss: 1.824155, test acc: 0.166667, test avg acc: 0.166667
Train 15, loss: 1.816394, train acc: 0.164385, train avg acc: 0.164385
Test 15, loss: 1.812319, test acc: 0.166667, test avg acc: 0.166667
Train 16, loss: 1.815819, train acc: 0.165079, train avg acc: 0.165079
Test 16, loss: 1.806346, test acc: 0.166667, test avg acc: 0.166667
Train 17, loss: 1.816852, train acc: 0.163988, train avg acc: 0.163988
Test 17, loss: 1.797538, test acc: 0.166667, test avg acc: 0.166667
Train 18, loss: 1.817468, train acc: 0.163294, train avg acc: 0.163294
Test 18, loss: 1.796825, test acc: 0.166667, test avg acc: 0.166667
Train 19, loss: 1.816133, train acc: 0.162996, train avg acc: 0.162996
Test 19, loss: 1.820033, test acc: 0.166667, test avg acc: 0.166667
Train 20, loss: 1.815834, train acc: 0.165079, train avg acc: 0.165079
Test 20, loss: 1.808601, test acc: 0.166667, test avg acc: 0.166667
Train 21, loss: 1.813985, train acc: 0.163690, train avg acc: 0.163690
Test 21, loss: 1.814880, test acc: 0.166667, test avg acc: 0.166667
Train 22, loss: 1.814481, train acc: 0.158433, train avg acc: 0.158433
Test 22, loss: 1.828445, test acc: 0.166667, test avg acc: 0.166667
Train 23, loss: 1.815860, train acc: 0.165675, train avg acc: 0.165675
Test 23, loss: 1.811560, test acc: 0.166667, test avg acc: 0.166667
Train 24, loss: 1.815188, train acc: 0.172222, train avg acc: 0.172222
Test 24, loss: 1.830790, test acc: 0.166667, test avg acc: 0.166667
Train 25, loss: 1.813972, train acc: 0.166766, train avg acc: 0.166766
Test 25, loss: 1.803435, test acc: 0.166667, test avg acc: 0.166667
Train 26, loss: 1.813016, train acc: 0.168948, train avg acc: 0.168948
Test 26, loss: 1.835457, test acc: 0.166667, test avg acc: 0.166667
Train 27, loss: 1.815268, train acc: 0.169147, train avg acc: 0.169147
Test 27, loss: 1.811073, test acc: 0.166667, test avg acc: 0.166667
Train 28, loss: 1.815062, train acc: 0.173313, train avg acc: 0.173313
Test 28, loss: 1.814475, test acc: 0.166667, test avg acc: 0.166667
Train 29, loss: 1.815236, train acc: 0.160317, train avg acc: 0.160317
Test 29, loss: 1.821978, test acc: 0.166667, test avg acc: 0.166667
Train 30, loss: 1.814712, train acc: 0.164683, train avg acc: 0.164683
Test 30, loss: 1.815142, test acc: 0.166667, test avg acc: 0.166667
Train 31, loss: 1.816963, train acc: 0.163492, train avg acc: 0.163492
Test 31, loss: 1.809228, test acc: 0.166667, test avg acc: 0.166667
Train 32, loss: 1.816658, train acc: 0.159623, train avg acc: 0.159623
Test 32, loss: 1.808864, test acc: 0.166667, test avg acc: 0.166667
Train 33, loss: 1.817091, train acc: 0.162698, train avg acc: 0.162698
Test 33, loss: 1.798353, test acc: 0.166667, test avg acc: 0.166667
Train 34, loss: 1.817329, train acc: 0.160317, train avg acc: 0.160317
Test 34, loss: 1.812975, test acc: 0.166667, test avg acc: 0.166667
Train 35, loss: 1.812535, train acc: 0.167361, train avg acc: 0.167361
Test 35, loss: 1.802057, test acc: 0.166667, test avg acc: 0.166667
Train 36, loss: 1.815964, train acc: 0.175198, train avg acc: 0.175198
Test 36, loss: 1.811666, test acc: 0.166667, test avg acc: 0.166667
Train 37, loss: 1.814836, train acc: 0.158829, train avg acc: 0.158829
Test 37, loss: 1.817253, test acc: 0.166667, test avg acc: 0.166667
Train 38, loss: 1.814035, train acc: 0.161706, train avg acc: 0.161706
Test 38, loss: 1.804325, test acc: 0.166667, test avg acc: 0.166667
Train 39, loss: 1.815202, train acc: 0.166567, train avg acc: 0.166567
Test 39, loss: 1.825587, test acc: 0.166667, test avg acc: 0.166667
Train 40, loss: 1.815034, train acc: 0.170337, train avg acc: 0.170337
Test 40, loss: 1.796815, test acc: 0.166667, test avg acc: 0.166667
Train 41, loss: 1.813809, train acc: 0.169841, train avg acc: 0.169841
Test 41, loss: 1.811320, test acc: 0.166667, test avg acc: 0.166667
Train 42, loss: 1.812836, train acc: 0.169444, train avg acc: 0.169444
Test 42, loss: 1.812899, test acc: 0.166667, test avg acc: 0.166667
Train 43, loss: 1.812849, train acc: 0.167063, train avg acc: 0.167063
Test 43, loss: 1.809865, test acc: 0.166667, test avg acc: 0.166667
Train 44, loss: 1.814558, train acc: 0.167361, train avg acc: 0.167361
Test 44, loss: 1.808715, test acc: 0.166667, test avg acc: 0.166667
Train 45, loss: 1.811753, train acc: 0.167063, train avg acc: 0.167063
Test 45, loss: 1.794019, test acc: 0.166667, test avg acc: 0.166667
Train 46, loss: 1.815856, train acc: 0.162698, train avg acc: 0.162698
Test 46, loss: 1.813618, test acc: 0.166667, test avg acc: 0.166667
Train 47, loss: 1.813313, train acc: 0.171329, train avg acc: 0.171329
Test 47, loss: 1.796954, test acc: 0.166667, test avg acc: 0.166667
Train 48, loss: 1.812512, train acc: 0.167361, train avg acc: 0.167361
Test 48, loss: 1.801187, test acc: 0.166667, test avg acc: 0.166667
Train 49, loss: 1.814356, train acc: 0.168651, train avg acc: 0.168651
Test 49, loss: 1.824671, test acc: 0.166667, test avg acc: 0.166667
Train 50, loss: 1.813147, train acc: 0.167758, train avg acc: 0.167758
Test 50, loss: 1.797771, test acc: 0.166667, test avg acc: 0.166667
Train 51, loss: 1.812216, train acc: 0.169246, train avg acc: 0.169246
Test 51, loss: 1.822534, test acc: 0.166667, test avg acc: 0.166667
Train 52, loss: 1.812628, train acc: 0.167857, train avg acc: 0.167857
Test 52, loss: 1.800377, test acc: 0.166667, test avg acc: 0.166667
Train 53, loss: 1.812780, train acc: 0.161905, train avg acc: 0.161905
Test 53, loss: 1.808344, test acc: 0.166667, test avg acc: 0.166667
Train 54, loss: 1.812412, train acc: 0.172222, train avg acc: 0.172222
Test 54, loss: 1.810404, test acc: 0.166667, test avg acc: 0.166667
Train 55, loss: 1.812729, train acc: 0.170238, train avg acc: 0.170238
